estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
23,EOD,9,-0.45,0.75
23,p0,3,-1.28,0.25
44,p0,1,-2.73,1.0
47,p0,1,-0.26,1.0
48,p9,1,-0.26,1.0
SOD,p0,9,-0.45,1.0
b12,b12,14,-2.73,0.33
b12,b41,1,-2.73,0.02
b12,c27,1,-2.73,0.02
b12,c7,5,-2.73,0.12
b12,g2,10,-2.73,0.23
b12,g3,1,-0.26,0.02
b12,p0,1,-0.26,0.02
b12,p28,4,-2.73,0.09
b12,p37,1,-2.73,0.02
b12,p4,1,-0.84,0.02
b12,p5,4,-2.12,0.09
b13,b12,1,-0.26,0.12
b13,c7,1,-2.73,0.12
b13,g2,2,-2.73,0.25
b13,p4,2,-1.5,0.25
b13,p5,1,-0.84,0.12
b13,p8,1,-2.73,0.12
b30,g2,2,-2.73,0.33
b30,l32,2,-1.5,0.33
b30,p0,1,-2.73,0.17
b30,p29,1,-2.73,0.17
b41,p42,1,-2.73,0.5
b41,p9,1,-2.73,0.5
c10,c10,53,-2.25,0.27
c10,c11,28,-1.58,0.14
c10,c31,37,-1.95,0.19
c10,c34,1,-2.73,0.01
c10,c7,2,-2.73,0.01
c10,g2,17,-2.51,0.09
c10,g3,13,-2.73,0.07
c10,i16,1,-0.84,0.01
c10,i17,1,-2.73,0.01
c10,l14,2,-1.4,0.01
c10,p0,12,-1.95,0.06
c10,p18,1,-2.73,0.01
c10,p28,11,-2.22,0.06
c10,p33,1,-2.73,0.01
c10,p4,5,-1.48,0.03
c10,p5,12,-1.79,0.06
c10,p8,1,-2.73,0.01
c10,p9,1,-2.73,0.01
c11,c10,27,-1.51,0.36
c11,c11,7,-1.92,0.09
c11,c31,10,-1.33,0.14
c11,c34,1,-0.84,0.01
c11,c7,1,-2.73,0.01
c11,g2,2,-2.73,0.03
c11,g3,1,-2.73,0.01
c11,p0,11,-1.34,0.15
c11,p18,3,-2.73,0.04
c11,p28,4,-2.07,0.05
c11,p4,6,-1.03,0.08
c11,p5,1,-0.84,0.01
c25,b12,1,-2.73,0.01
c25,c10,3,-2.73,0.04
c25,c27,6,-2.1,0.08
c25,c6,4,-0.88,0.05
c25,g2,15,-2.61,0.2
c25,g3,9,-2.73,0.12
c25,i36,1,-2.73,0.01
c25,i39,1,-2.73,0.01
c25,l14,1,-2.73,0.01
c25,p0,9,-1.89,0.12
c25,p19,1,-2.73,0.01
c25,p26,9,-2.25,0.12
c25,p29,1,-2.73,0.01
c25,p4,5,-1.48,0.07
c25,p5,4,-1.64,0.05
c25,p9,4,-2.73,0.05
c27,b30,1,-2.73,0.02
c27,c10,1,-2.73,0.02
c27,g2,5,-2.73,0.11
c27,g3,6,-2.73,0.13
c27,i39,1,-0.07,0.02
c27,l14,2,-0.55,0.04
c27,p0,12,-1.63,0.26
c27,p20,1,-0.02,0.02
c27,p26,1,-0.84,0.02
c27,p4,11,-1.19,0.23
c27,p5,3,-0.84,0.06
c27,p51,1,-0.02,0.02
c27,p9,2,-0.84,0.04
c31,c10,20,-1.99,0.42
c31,c11,3,-1.47,0.06
c31,c52,1,-0.84,0.02
c31,l32,2,-0.06,0.04
c31,p0,13,-1.68,0.27
c31,p28,7,-2.35,0.15
c31,p5,1,-2.73,0.02
c31,p9,1,-0.06,0.02
c34,c10,2,-1.79,0.5
c34,c11,1,-0.84,0.25
c34,i36,1,-2.73,0.25
c38,l14,1,-0.26,0.5
c38,p9,1,-2.73,0.5
c46,g2,1,-2.73,1.0
