estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
20,EOD,1,-2.19,0.2
20,p0,3,-2.19,0.6
20,p6,1,-2.19,0.2
34,i19,1,-2.19,1.0
SOD,p0,1,-2.19,1.0
b11,b11,51,-2.19,0.78
b11,b12,7,-2.19,0.11
b11,b27,4,-2.19,0.06
b11,g2,1,-2.19,0.02
b11,p0,1,-2.19,0.02
b11,p3,1,-2.19,0.02
b12,b11,6,-2.19,0.43
b12,b12,4,-2.19,0.29
b12,b27,2,-2.19,0.14
b12,g2,1,-2.19,0.07
b12,p3,1,-2.19,0.07
b27,b12,1,-2.19,0.17
b27,p0,5,-2.19,0.83
c10,c10,36,-2.19,0.75
c10,c30,7,-2.19,0.15
c10,c9,2,-2.19,0.04
c10,p5,2,-2.19,0.04
c10,p6,1,-2.19,0.02
c13,b11,1,-2.19,0.17
c13,c13,1,-2.19,0.17
c13,c14,2,-2.19,0.33
c13,g1,1,-2.19,0.17
c13,i19,1,-2.19,0.17
c14,c13,2,-2.19,0.1
c14,c14,14,-2.19,0.7
c14,p0,2,-2.19,0.1
c14,p25,1,-2.19,0.05
c14,p32,1,-2.19,0.05
c23,g1,2,-2.19,1.0
c30,c10,4,-2.19,0.57
c30,c9,1,-2.19,0.14
c30,p0,2,-2.19,0.29
c9,c10,3,-2.19,0.33
c9,c13,1,-2.19,0.11
c9,g2,1,-2.19,0.11
c9,p25,2,-2.19,0.22
c9,p5,1,-2.19,0.11
c9,p6,1,-2.19,0.11
g1,c13,1,-2.19,0.01
g1,g1,88,-2.19,0.56
g1,g2,20,-2.19,0.13
g1,p21,46,-2.19,0.29
g1,p22,1,-2.19,0.01
g1,p26,1,-2.19,0.01
g1,p5,1,-2.19,0.01
g2,b11,1,-2.19,0.02
g2,b12,1,-2.19,0.02
g2,c9,1,-2.19,0.02
g2,g1,12,-2.19,0.19
g2,g2,13,-2.19,0.2
g2,p21,32,-2.19,0.5
g2,p22,1,-2.19,0.02
g2,p26,1,-2.19,0.02
g2,p5,2,-2.19,0.03
i19,34,1,-2.19,0.05
i19,i19,11,-2.19,0.58
i19,p0,4,-2.19,0.21
i19,p25,2,-2.19,0.11
i19,p33,1,-2.19,0.05
p0,20,2,-2.19,0.02
p0,b11,5,-2.19,0.05
p0,b12,1,-2.19,0.01
p0,c10,1,-2.19,0.01
p0,c13,1,-2.19,0.01
p0,c14,2,-2.19,0.02
p0,c9,1,-2.19,0.01
p0,g1,9,-2.19,0.09
p0,g2,5,-2.19,0.05
p0,i19,3,-2.19,0.03
p0,p0,35,-2.19,0.36
p0,p15,3,-2.19,0.03
p0,p16,2,-2.19,0.02
p0,p17,2,-2.19,0.02
p0,p3,6,-2.19,0.06
p0,p4,3,-2.19,0.03
p0,p5,6,-2.19,0.06
p0,p6,3,-2.19,0.03
p0,p7,1,-2.19,0.01
p0,p8,5,-2.19,0.05
p15,p0,1,-2.19,0.08
p15,p15,2,-2.19,0.15
p15,p16,8,-2.19,0.62
p15,p31,2,-2.19,0.15
p16,p0,2,-2.19,0.07
p16,p15,8,-2.19,0.29
p16,p16,18,-2.19,0.64
p17,p18,4,-2.19,1.0
p18,p0,1,-2.19,0.05
p18,p17,2,-2.19,0.1
p18,p18,16,-2.19,0.8
p18,p28,1,-2.19,0.05
p21,20,1,-2.19,0.01
p21,g1,41,-2.19,0.38
p21,g2,18,-2.19,0.17
p21,p0,21,-2.19,0.19
p21,p22,1,-2.19,0.01
p21,p26,3,-2.19,0.03
p21,p3,3,-2.19,0.03
p21,p4,2,-2.19,0.02
p21,p5,5,-2.19,0.05
p21,p6,14,-2.19,0.13
p22,c23,2,-2.19,0.67
p22,g1,1,-2.19,0.33
p24,20,1,-2.19,0.03
p24,p0,5,-2.19,0.17
p24,p25,3,-2.19,0.1
p24,p4,21,-2.19,0.7
p25,c10,2,-2.19,0.2
p25,c14,1,-2.19,0.1
p25,i19,2,-2.19,0.2
p25,p0,1,-2.19,0.1
p25,p3,2,-2.19,0.2
p25,p4,2,-2.19,0.2
p26,g1,1,-2.19,0.1
p26,g2,3,-2.19,0.3
p26,p5,1,-2.19,0.1
p26,p6,5,-2.19,0.5
p28,p0,3,-2.19,0.5
p28,p29,3,-2.19,0.5
p29,p0,3,-2.19,1.0
p3,b11,1,-2.19,0.03
p3,c9,2,-2.19,0.06
p3,p0,2,-2.19,0.06
p3,p24,3,-2.19,0.08
p3,p25,1,-2.19,0.03
p3,p3,8,-2.19,0.22
p3,p32,1,-2.19,0.03
p3,p4,14,-2.19,0.39
p3,p5,3,-2.19,0.08
p3,p8,1,-2.19,0.03
p31,p0,2,-2.19,1.0
p32,c14,1,-2.19,0.5
p32,p4,1,-2.19,0.5
p33,i19,1,-2.19,1.0
p4,g1,1,-2.19,0.01
p4,g2,1,-2.19,0.01
p4,p0,1,-2.19,0.01
p4,p24,27,-2.19,0.25
p4,p25,1,-2.19,0.01
p4,p3,12,-2.19,0.11
p4,p4,61,-2.19,0.58
p4,p6,1,-2.19,0.01
p4,p8,1,-2.19,0.01
p5,c10,2,-2.19,0.03
p5,c9,1,-2.19,0.02
p5,g1,2,-2.19,0.03
p5,g2,1,-2.19,0.02
p5,p21,17,-2.19,0.26
p5,p26,1,-2.19,0.02
p5,p3,1,-2.19,0.02
p5,p5,27,-2.19,0.41
p5,p6,14,-2.19,0.21
p6,20,1,-2.19,0.02
p6,c9,1,-2.19,0.02
p6,p21,14,-2.19,0.23
p6,p26,4,-2.19,0.06
p6,p3,1,-2.19,0.02
p6,p4,1,-2.19,0.02
p6,p5,18,-2.19,0.29
p6,p6,21,-2.19,0.34
p6,p7,1,-2.19,0.02
p7,p0,1,-2.19,0.06
p7,p28,1,-2.19,0.06
p7,p6,1,-2.19,0.06
p7,p7,3,-2.19,0.19
p7,p8,10,-2.19,0.62
p8,p28,4,-2.19,0.08
p8,p3,1,-2.19,0.02
p8,p4,1,-2.19,0.02
p8,p7,11,-2.19,0.22
p8,p8,33,-2.19,0.66
